"Numeral" "ID" "PRESTADOR" "NIT" "EXPEDIENTES" "COD_DANE" "DPTO" "Municipio de Correspondencia" "SERVICIOS" "REPRESENTANTE LEGAL" "DIRECCION" "CORREO ELECTRONICO" "TELEFONO 1" "TELEFONO 2" "CELULAR" "CLASIFICACION" "AREA DE PRESTACION" "TIPO PRESTADOR" "ORDEN" "NATURALEZA JURIDICA" "CLASE" "FECHA DE INICIO DE ACTIVIDADES" "ACUEDUCTO CAPTACION" "ACUEDUCTO ADUCCION" "ACUEDUCTO TRATAMIENTO" "ACUEDUCTO ALMACENAMIENTO" "ACUEDUCTO CONDUCCION" "ACUEDUCTO DISTRIBUCION" "ACUEDUCTO COMERCIALIZACION" "ALCANTARILLADO RECOLECCION" "ALCANTARILLADO CONDUCCION DE RESIDUOS LIQUIDOS" "ALCANTARILLADO TRATAMIENTO" "ALCANTARILLADO DISPOSICION FINAL" "ALCANTARILLADO COMERCIALIZACION" "ASEO RECOLECCION Y TRANSPORTE" "ASEO BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "ASEO LAVADO DE AREAS PUBLICAS" "ASEO CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "ASEO APROVECHAMIENTO" "ASEO DISPOSICION FINAL" "ASEO LIMPIEZA DE PLAYAS" "ASEO TRANSFERENCIA" "ULTIMO TRAMITE RUPS" "MOTIVO" "ESTADO" "EN VIGILANCIA" "OBSERVACIONES" "Municipios Prestacion"
"11" 75 "EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE REPELON" 8020037942 "2019460351700017E" 8606 "ATLANTICO" "REPELON" "ACUEDUCTO" "YESID SARMIENTO" "Carrera 11 No 10B - 123 Esquina" "yess-2014@outlook.com" "3015195826" 3015195826 3006667724 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "OFICIAL" "35065" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42996" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "REPELON"
"12" 76 "OFICINA DE SERVICIOS PUBLICOS DE MONTEBELLO" 8909811156 "2019460351700018E" 5467 "ANTIOQUIA" "MONTEBELLO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "FERDINANDO DE JESUS MUNOZ ALVAREZ" "Calle 17 Sucre No. 18 A - 01" "alcaldia@montebello-antioquia.gov.co" "8480564" 8480564 3127842424 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35385" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43525" "Actualizacion" "APROBADA" "SI" NA "MONTEBELLO"
"13" 79 "ASOCIACION ACUEDUCTO Y ALCANTARILLADO CUATRO ESQUINAS RIONEGRO ANTIOQUIA" 8110185059 "2019460351700019E" 5615 "ANTIOQUIA" "RIONEGRO" "ACUEDUCTO,ALCANTARILLADO" "HUMBERTO LEON SANTA CARDONA" "CARRERA 38A No 40 - 54" "acueducto4444@hotmail.com" "3104548938" 5615848 3104548938 "MENOR O IGUAL A 2500 USUARIOS" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "34166" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "43633" "Actualizacion" "CERTIFICADA" "SI" NA "RIONEGRO"
"14" 85 "ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE JARDIN" 8002109331 "2019460351700020E" 5364 "ANTIOQUIA" "JARDIN" "ACUEDUCTO" "MARISOL MARIN MARIN" "CARRERA 7 No 9 -23" "ACUEDUCTOMULTIVEREDALJARDIN@HOTMAIL.COM" "8455838" 8455838 3113623822 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35033" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43620" "Actualizacion" "CERTIFICADA" "SI" NA "JARDIN"
"15" 87 "ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VERAMIEL" 8110357555 "2019460351700021E" 5376 "ANTIOQUIA" "LA CEJA" "ACUEDUCTO" "ARANGO PATINO JOVANY ARLES" "VEREDA LA MIEL LA CEJA" "veredalamiel@yahoo.es" "5531654" 5640235 3145362762 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "37622" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43102" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "LA CEJA"
"16" 88 "ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO CESTILLAL LA PALMA" 9002410238 "2019460351700022E" 5376 "ANTIOQUIA" "LA CEJA" "ACUEDUCTO" "BEDOYA MOLINA MARTA NELLY" "Calle 21 No 27-21 PISO 2 BARRIO MIRADOR DEL NORTE" "mmolinabedoya@yahoo.com" "5538072" 5625422 3192916805 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39592" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43209" "Actualizacion" "Pendiente de Revision" "SI" NA "LA CEJA"
"17" 104 "ASOCIACION COMUNITARIA DE USUARIOS DE ACUEDUCTO DEL BARRIO SAN ANTONIO" 8090048317 "2019460351700023E" 73001 "TOLIMA" "IBAGUE" "ACUEDUCTO" "MARTA CECILIA QUINTERO SAAVEDRA" "Calle 61 No.19-15 BARRIO SAN ANTONIO PARTE ALTA" "asoacueductosanantonio@gmail.com" "2750966" 2750966 3159279216 "MENOR O IGUAL A 2500 USUARIOS" "URBANO Y RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR AREA O ZONA URBANA ESTRATO 1" "ASOCIACION DE USUARIOS" "PRIVADA" "35655" "CAPTACION" "ADUCCION" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43620" "Actualizacion" "CERTIFICADA" "SI" NA "IBAGUE"
"18" 106 "ASOCIACION COMUNITARIA DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE BARRIO LA UNION DEL MUNICIPIO DE IBAGUE" 8090008698 "2019460351700024E" 73001 "TOLIMA" "IBAGUE" "ACUEDUCTO" "VALDES BALLEN ALFONSO" "CARRERA 32 SUR No 16 - 32" "lear8520@hotmail.com" "2605859" 2605859 3133960133 "HASTA 2500 SUSCRIPTORES" "URBANO" "ORGANIZACION AUTORIZADA" "PRESTADOR AREA O ZONA URBANA ESTRATO 1" "ASOCIACION DE USUARIOS" "PRIVADA" "35496" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41081" "Inscripción" "APROBADA" "SI" NA "IBAGUE"
"19" 108 "ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL BARRIO LOS CIRUELOS" 8090032882 "2019460351700025E" 73001 "TOLIMA" "IBAGUE" "ACUEDUCTO" "CARDOZO GONZALEZ DANIEL" "Calle 68 A No 28-33 Los Ciruelos" "hower51@hotmail.com" "2751117" 2612843 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "ORGANIZACION AUTORIZADA" "PRESTADOR AREA O ZONA URBANA ESTRATO 1" "ASOCIACION DE USUARIOS" "PRIVADA" "33233" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43046" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "IBAGUE"
"20" 110 "CORPORACION DE ACUEDUCTO DE ALTAVISTA" 8002184786 "2019460351700026E" 5001 "ANTIOQUIA" "MEDELLIN" "ACUEDUCTO" "GUSTAVO DE JESUS CANO MUNOZ" "Calle 18 No 105 - 21" "gerencia@acueductoaltavista.com" "3532979" 2387330 3218416184 "MENOR O IGUAL A 2500 USUARIOS" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "CORPORACION" "PRIVADA" "34326" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43591" "Actualizacion" "CERTIFICADA" "SI" NA "MEDELLIN"
"21" 112 "ASOCIACION DE USUARIOS DEL ACUEDUCTO DE MINAS AMAGA" 8110151568 "2019460351700027E" 5030 "ANTIOQUIA" "AMAGA" "ACUEDUCTO" "ROJAS CARMONA GILDARDO DE JESUS" "CENTRO POBLADO MINAS PARQUE PRINCIPAL" "acueductodeminas@hotmail.com" "8478285" 8478474 3127997722 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "26 / sep / 1996" "CAPTACION" "ADUCCION" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43553" "Actualizacion" "APROBADA" "SI" NA "AMAGA"
"22" 113 "ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL DEL CASERIO LAS DELICIAS" 8001210105 "2019460351700028E" 73001 "TOLIMA" "IBAGUE" "ACUEDUCTO" "Alvis de Garcia Maria Elina" "Manzana 7 Casa 1 Barrio Las Delicias" "acueductolasdelicias@gmail.com" "2751047" 2690197 3134134707 "HASTA 2500 SUSCRIPTORES" "URBANO Y RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "32938" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "0" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "43540" "Actualizacion" "CERTIFICADA" "SI" NA "IBAGUE"
"23" 114 "ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL BARRIO SANTA CRUZ" 9000526963 "2019460351700029E" 73001 "TOLIMA" "IBAGUE" "ACUEDUCTO" "LIZANDER LOZANO MONDRAGON" "MANZANA H CASA 16 BARRIO SANTA CRUZ" "acuasantacruz@gmail.com" "2735401" 2735401 3107685566 "HASTA 2500 SUSCRIPTORES" "URBANO Y RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR AREA O ZONA URBANA ESTRATO 1" "ASOCIACION DE USUARIOS" "PRIVADA" "34166" "CAPTACION" "ADUCCION" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43491" "Actualizacion" "CERTIFICADA" "SI" NA "IBAGUE"
"24" 123 "EMPRESA DE SERVICIOS PUBLICOS DE CALOTO" 8170001002 "2019460351700030E" 19142 "CAUCA" "CALOTO" "ACUEDUCTO,ALCANTARILLADO" "VERA CAICEDO MARIA AMPARO" "Calle 11 No 5 60" "empocaloto@yahoo.com" "8258284" 8258284 3116090868 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "OFICIAL" "15 / sep / 1992" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "43508" "Actualizacion" "CERTIFICADA" "SI" NA "CALOTO"
"25" 132 "EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE CHIMICHAGUA E. S. P." 8240022266 "2019460351700031E" 20175 "CESAR" "CHIMICHAGUA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "MEJIA MORA NOHORA BEATRIZ" "Calle 5 No 10-04" "javiersoto1487@hotmail.com" "5280165" 5280165 3205696117 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "OFICIAL" "35788" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "42503" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "CHIMICHAGUA"
"26" 159 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO DINDAL" 9002492549 "2019460351700032E" 25148 "CUNDINAMARCA" "CAPARRAPI" "ACUEDUCTO" "ESCOBAR ANATOLIO" "CARRERERA 3 No 4-34" "magdalorena2682@hotmail.com" "4531563" 4531563 3202720790 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39687" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41102" "Inscripción" "APROBADA" "SI" NA "CAPARRAPI"
